Country;Date;Bee_name
Germany;8-8-2022;Halictus scabiosae
Germany;8-8-2022;Halictus scabiosae
Germany;8-8-2022;Hallictus subauratus
Germany;8-8-2022;Apis mellifera
Germany;8-8-2022;Apis mellifera
Germany;8-8-2022;Bombus lapidarius
Germany;8-8-2022;Bombus pascuorum
Germany;8-8-2022;Bombus pascuorum
Germany;8-8-2022;Bombus pascuorum
Germany;8-8-2022;Halictus subauratus
Germany;8-8-2022;Apis mellifera
Germany;8-8-2022;Bombus spec
Germany;8-8-2022;Bombus lapidarius
Germany;8-8-2022;Halictus scabiosae
Germany;8-8-2022;Halictus simplex
Germany;8-8-2022;Lasioglossum malachurum
Germany;8-8-2022;Melitta haemorrhoidalis
Germany;8-8-2022;Bombus ruderarius
Germany;6-6-2022;Bombus lapidarius
Germany;12-7-2022;Halictus simplex
Germany;12-7-2022;Lasioglossum laticeps
Germany;12-7-2022;Andrena minutula
Germany;12-7-2022;Andrena minutula
Germany;12-7-2022;Bombus lapidarius
Germany;12-7-2022;Lasioglossum pauxillum
Germany;4-8-2022;Bombus pascuorum
Germany;4-8-2022;Halictus tumulorum
Germany;4-8-2022;Osmia campanularum
Germany;4-8-2022;Osmia campanularum
Germany;4-8-2022;Bombus pascuorum
Germany;4-8-2022;Halictus scabiosae
Germany;4-8-2022;Hylaeus dilatatus
Germany;4-8-2022;Apis mellifera
Germany;4-8-2022;Bombus spec
Germany;4-8-2022;Ceratina cyanea
Germany;4-8-2022;Ceratina cyanea
Germany;4-8-2022;Apis mellifera
Germany;4-8-2022;Bombus lapidarius
Germany;4-8-2022;Bombus lapidarius
Germany;4-8-2022;Bombus lucorum
Germany;4-8-2022;Bombus pascuorum
Germany;4-8-2022;Bombus terrestris
Germany;4-8-2022;Halictus scabiosae
Germany;4-8-2022;Apis mellifera
Germany;4-8-2022;Bombus spec
Germany;25-5-2022;Chelostoma florisomne
Germany;25-5-2022;Lasioglossum pauxillum
Germany;25-5-2022;Lasioglossum villosulum
Germany;25-5-2022;Andrena minutula
Germany;25-5-2022;Andrena nitida
Germany;25-5-2022;Bombus pascuorum
Germany;25-5-2022;Bombus pascuorum
Germany;25-5-2022;Lasioglossum pauxillum
Germany;25-5-2022;Bombus hortorum
Germany;25-5-2022;Halictus simplex
Germany;25-5-2022;Halictus tumulorum
Germany;25-5-2022;Osmia aurulenta
Germany;25-5-2022;Apis mellifera
Germany;28-6-2022;Bombus lapidarius
Germany;28-6-2022;Bombus pascuorum
Germany;28-6-2022;Halictus tumulorum
Germany;28-6-2022;Lasioglossum leucozonium
Germany;28-6-2022;Lasioglossum villosulum
Germany;28-6-2022;Anthidium byssinum
Germany;28-6-2022;Bombus lapidarius
Germany;28-6-2022;Bombus pascuorum
Germany;28-6-2022;Bombus pascuorum
Germany;28-6-2022;Bombus pascuorum
Germany;28-6-2022;Halictus simplex
Germany;28-6-2022;Andrena flavipes
Germany;28-6-2022;Bombus terrestris
Germany;28-6-2022;Halictus simplex
Germany;28-6-2022;Megachile versicolor
Germany;27-7-2022;Halictus tumulorum
Germany;27-7-2022;Halictus tumulorum
Germany;27-7-2022;Lasioglossum leucozonium
Germany;27-7-2022;Lasioglossum malachurum
Germany;27-7-2022;Bombus lapidarius
Germany;27-7-2022;Bombus lapidarius
Germany;27-7-2022;Bombus lapidarius
Germany;27-7-2022;Bombus terrestris
Germany;27-7-2022;Lasioglossum pauxillum
Germany;27-7-2022;Apis mellifera
Germany;27-7-2022;Apis mellifera
Germany;27-7-2022;Bombus spec
Germany;27-7-2022;Bombus lapidarius
Germany;27-7-2022;Bombus lapidarius
Germany;27-7-2022;Bombus lapidarius
Germany;27-7-2022;Bombus pascuorum
Germany;27-7-2022;Bombus terrestris
Germany;27-7-2022;Halictus scabiosae
Germany;27-7-2022;Halictus simplex
Germany;27-7-2022;Halictus simplex
Germany;27-7-2022;Halictus simplex
